country_name,cases,deaths,region,total_recovered,new_deaths,new_cases,serious_critical,active_cases,total_cases_per_1m_population,deaths_per_1m_population,total_tests,tests_per_1m_population
Saudi Arabia,"753,332","9,076",,"740,467",0,0,45,"3,789","21,047",254,"41,817,866","1,168,345"
Sri Lanka,"663,131","16,502",,"642,574",0,0,0,"4,055","30,736",765,"6,486,117","300,627"
Paraguay,"649,034","18,795",,"624,673",0,0,5,"5,566","89,022","2,578","2,623,300","359,816"
Kuwait,"631,294","2,555",,"627,899",0,0,8,840,"143,981",583,"7,999,656","1,824,506"
Myanmar,"612,733","19,434",,"591,609",0,0,0,"1,690","11,127",353,"7,891,077","143,296"
Palestine,"581,816","5,353",,"575,899",0,0,17,564,"109,459","1,007","3,078,533","579,175"
Dominican Republic,"578,954","4,376",,"574,297",0,0,16,281,"52,421",396,"3,261,060","295,272"
Estonia,"570,257","2,531",,"507,474",0,181,7,"60,252","429,364","1,906","3,311,935","2,493,655"
Bahrain,"565,830","1,475",,"560,795",0,0,3,"3,560","312,916",816,"9,695,962","5,362,081"
Venezuela,"522,121","5,705",,"515,305",0,0,230,"1,111","18,456",202,"3,359,014","118,733"
Moldova,"516,986","11,489",,"504,142",0,0,49,"1,355","128,698","2,860","3,216,305","800,665"
Egypt,"515,645","24,613",,"442,182",0,0,122,"48,850","4,873",233,"3,693,367","34,903"
Libya,"501,862","6,429",,"490,900",0,0,101,"4,533","71,288",913,"2,476,960","351,844"
Cyprus,"470,481","1,011",,"124,370",0,0,60,"345,100","384,623",827,"9,477,138","7,747,665"
Ethiopia,"470,417","7,510",,"454,967",0,0,15,"7,940","3,917",63,"4,763,756","39,665"
Mongolia,"469,580","2,177",,"313,256",0,30,192,"154,147","139,194",645,"4,030,048","1,194,595"
Armenia,"422,825","8,622",,"410,558",0,3,0,"3,645","142,210","2,900","3,035,104","1,020,807"
Honduras,"422,275","10,892",,"131,100",0,0,105,"280,283","41,445","1,069","1,263,329","123,991"
Oman,"388,995","4,257",,"384,055",0,0,2,683,"72,833",797,"25,000,000","4,680,828"
Bosnia and Herzegovina,"376,699","15,756",,"192,218",0,0,0,"168,725","116,122","4,857","1,752,716","540,297"
Réunion,"374,295",742,,"355,605",0,0,10,"17,948","412,744",818,"1,603,660","1,768,393"
Qatar,"364,089",677,,"362,568",0,0,1,844,"129,670",241,"3,425,362","1,219,943"
Kenya,"323,696","5,649",,"317,909",0,0,0,138,"5,790",101,"3,581,506","64,060"
Zambia,"318,984","3,974",,"314,075",0,0,0,935,"16,517",206,"3,408,441","176,487"
North Macedonia,"309,062","9,271",,"299,064",0,0,0,727,"148,358","4,450","2,007,553","963,678"
Botswana,"305,859","2,688",,"303,026",0,0,1,145,"125,491","1,103","2,026,898","831,613"
Albania,"274,791","3,496",,"270,869",0,0,2,426,"95,675","1,217","1,799,730","626,620"
Algeria,"265,761","6,874",,"178,344",0,0,6,"80,543","5,869",152,"230,861","5,099"
Nigeria,"255,685","3,143",,"249,890",0,0,11,"2,652","1,187",15,"5,036,813","23,388"
Zimbabwe,"247,524","5,468",,"241,362",0,0,12,694,"16,227",358,"2,240,305","146,872"
Uzbekistan,"238,469","1,637",,"236,483",0,27,23,349,"6,943",48,"1,377,915","40,120"
Montenegro,"234,619","2,713",,"231,297",0,0,6,609,"373,473","4,319","2,444,820","3,891,730"
Luxembourg,"233,966","1,058",,"221,501",0,0,1,"11,407","363,099","1,642","4,213,886","6,539,666"
Mozambique,"225,358","2,201",,"223,104",0,0,13,53,"6,863",67,"1,308,458","39,849"
Laos,"205,975",732,,"7,660",0,"1,082",0,"197,583","27,588",98,"1,232,128","165,029"
Kyrgyzstan,"200,983","2,991",,"196,386",0,0,131,"1,606","29,915",445,"1,907,195","283,874"
China,"200,654","4,725",,"166,398",39,"1,580",236,"29,531",139,3,"160,000,000","111,163"
Iceland,"183,974",112,,"75,685",0,0,1,"108,177","532,886",324,"1,953,616","5,658,702"
